timestamp,label,fps,cpu_temp_c,mem_used_mb,persons_detected
2026-07-28 07:18:08,640x480,0.24,50.7,91.3,1
2026-07-28 07:18:13,640x480,0.25,53.0,91.6,1
2026-07-28 07:18:18,640x480,0.26,50.9,91.3,3
2026-07-28 07:18:23,640x480,0.28,52.3,91.7,1
2026-07-28 07:18:28,640x480,0.29,51.6,91.7,2
2026-07-28 07:18:33,640x480,0.3,50.8,91.7,1
2026-07-28 07:18:38,640x480,0.31,53.9,91.7,2
2026-07-28 07:18:43,640x480,0.31,53.9,91.7,1
2026-07-28 07:18:48,640x480,0.32,54.1,91.5,1
2026-07-28 07:18:53,640x480,0.32,54.1,90.7,2
2026-07-28 07:18:58,640x480,0.33,55.4,91.5,2
2026-07-28 07:19:03,640x480,0.33,52.3,91.3,3
2026-07-28 07:19:08,640x480,0.33,56.0,92.8,1
2026-07-28 07:19:13,640x480,0.33,55.1,92.8,1
2026-07-28 07:19:18,640x480,0.34,52.3,93.3,2
2026-07-28 07:19:23,640x480,0.34,56.3,93.3,3
2026-07-28 07:19:28,640x480,0.34,53.6,93.3,1
2026-07-28 07:19:33,640x480,0.34,57.6,93.3,2
2026-07-28 07:19:38,640x480,0.34,55.0,92.8,2
2026-07-28 07:19:43,640x480,0.34,56.0,93.1,4
2026-07-28 07:19:48,640x480,0.34,55.5,93.1,3
2026-07-28 07:19:53,640x480,0.34,55.8,93.1,1
2026-07-28 07:19:58,640x480,0.34,55.4,93.1,3
2026-07-28 07:20:03,640x480,0.34,55.0,93.1,3
2026-07-28 07:20:08,640x480,0.34,55.3,92.0,3
2026-07-28 07:20:13,640x480,0.34,53.0,92.8,2
2026-07-28 07:20:18,640x480,0.34,56.3,93.3,5
2026-07-28 07:20:23,640x480,0.34,56.0,93.1,1
2026-07-28 07:20:28,640x480,0.34,53.6,93.1,5
2026-07-28 07:20:33,640x480,0.35,54.0,93.1,1
2026-07-28 07:20:38,640x480,0.35,54.1,92.8,1
2026-07-28 07:20:43,640x480,0.35,51.7,93.1,2
2026-07-28 07:20:48,640x480,0.35,54.5,93.1,2
2026-07-28 07:20:53,640x480,0.35,54.6,92.8,1
2026-07-28 07:20:58,640x480,0.35,54.1,93.1,1
2026-07-28 07:21:03,640x480,0.35,56.0,93.1,2
2026-07-28 07:21:08,640x480,0.35,55.5,92.8,2
2026-07-28 07:21:13,640x480,0.35,54.1,93.1,2
2026-07-28 07:21:18,640x480,0.35,53.8,93.1,2
2026-07-28 07:21:23,640x480,0.35,54.2,93.1,2
2026-07-28 07:21:28,640x480,0.35,55.1,93.1,2
2026-07-28 07:21:33,640x480,0.35,53.2,93.6,2
2026-07-28 07:21:38,640x480,0.35,53.8,93.3,2
2026-07-28 07:21:43,640x480,0.35,54.5,93.3,2
2026-07-28 07:21:48,640x480,0.35,56.6,93.3,1
2026-07-28 07:21:53,640x480,0.35,52.6,93.3,1
2026-07-28 07:21:58,640x480,0.35,56.0,92.8,2
2026-07-28 07:22:03,640x480,0.35,54.0,93.1,2
2026-07-28 07:22:08,640x480,0.35,53.8,93.3,2
2026-07-28 07:22:13,640x480,0.35,56.1,93.3,2
2026-07-28 07:22:18,640x480,0.35,54.8,93.3,2
2026-07-28 07:22:23,640x480,0.35,51.3,93.3,1
2026-07-28 07:22:28,640x480,0.35,55.5,93.1,2
2026-07-28 07:22:33,640x480,0.35,54.7,93.3,1
2026-07-28 07:22:38,640x480,0.35,55.0,93.1,1
2026-07-28 07:22:43,640x480,0.35,55.4,93.3,4
2026-07-28 07:22:48,640x480,0.35,55.3,93.3,1
2026-07-28 07:22:53,640x480,0.35,53.6,92.6,2
2026-07-28 07:22:58,640x480,0.35,55.2,93.3,2
2026-07-28 07:23:03,640x480,0.35,54.7,93.3,1
