elapsed_s,up,latency_ms
324.61,False,1.5
325.61,False,1.6
326.61,False,1.7
327.61,False,1.9
328.61,False,1.5
329.61,False,1.4
330.61,False,1.4
331.61,False,1.7
332.61,False,1.6
333.61,False,1.7
334.61,False,1.4
335.61,False,1.7
336.61,False,1.6
337.61,False,1.5
338.61,False,1.5
339.61,False,1.5
340.61,False,1.7
341.61,False,1.7
342.61,False,1.5
343.61,False,1.6
344.61,False,1.3
345.62,False,6.2
346.61,False,1.5
347.61,False,1.5
348.61,False,1.6
349.61,False,1.4
350.61,False,1.4
351.61,False,1.5
352.61,False,1.8
353.61,False,1.8
354.61,False,1.5
355.61,False,1.4
356.61,False,1.3
357.61,False,1.5
358.61,False,1.4
359.61,False,1.6
360.61,False,1.4
361.61,False,1.6
362.61,False,1.6
363.61,False,1.8
364.61,False,1.4
365.61,False,1.3
366.61,False,1.6
367.61,False,1.5
368.61,False,2.0
369.61,False,1.5
370.61,False,1.3
371.61,False,1.5
372.61,False,1.8
373.61,False,1.6
374.61,False,1.6
375.61,False,1.5
376.61,False,1.5
377.61,False,1.8
378.61,False,1.6
379.61,False,1.6
380.61,False,1.5
381.61,False,1.4
382.65,False,39.8
383.7,False,85.2
384.66,False,43.6
385.68,False,65.9
386.62,False,1.4
387.64,False,22.6
388.62,False,1.5
389.62,False,1.5
390.62,False,9.9
391.61,False,0.5
392.68,True,62.5
393.66,True,49.0
394.67,True,51.7
395.66,True,46.3
396.68,True,61.9
397.69,True,78.5
398.81,True,198.6
399.91,True,297.8
