elapsed_s,cpu_temp_c,cpu_percent,throttled,target_fps,processing_scale,stress_active
270.16,65.1,9.4,True,5.0,0.5,False
272.2,65.4,14.3,True,5.0,0.5,False
274.24,62.2,14.3,False,15.0,1.0,False
276.28,74.9,100.0,True,5.0,0.5,False
278.33,66.1,9.1,True,5.0,0.5,False
280.38,65.3,7.3,True,5.0,0.5,False
282.42,61.5,5.3,True,5.0,0.5,False
284.46,76.6,77.3,False,15.0,1.0,False
286.51,63.3,7.3,True,5.0,0.5,False
288.56,74.3,89.2,False,15.0,1.0,False
290.61,64.5,6.2,False,15.0,1.0,False
292.65,68.8,95.1,False,15.0,1.0,False
294.7,73.6,94.1,True,5.0,0.5,False
296.75,74.0,29.9,True,5.0,0.5,False
298.79,61.9,8.6,False,15.0,1.0,False
