elapsed_s,cpu_temp_c,cpu_percent,throttled,target_fps,processing_scale,stress_active
271.34,39.8,72.5,False,15.0,1.0,False
273.39,40.7,100.0,False,15.0,1.0,False
275.44,40.4,82.7,False,15.0,1.0,False
277.5,41.1,100.0,False,15.0,1.0,False
279.55,42.8,94.6,False,15.0,1.0,False
281.6,40.9,93.8,False,15.0,1.0,False
283.66,40.8,100.0,False,15.0,1.0,False
285.71,43.3,100.0,False,15.0,1.0,False
287.76,41.3,92.0,False,15.0,1.0,False
289.81,39.7,100.0,False,15.0,1.0,False
291.86,41.0,100.0,False,15.0,1.0,False
293.91,41.3,100.0,False,15.0,1.0,False
295.96,40.1,100.0,False,15.0,1.0,False
298.02,40.7,87.4,False,15.0,1.0,False
