elapsed_s,cpu_temp_c,cpu_percent,mem_free_mb,mem_total_mb,ok
0.06,32.6,50.3,216.3,477.6,True
30.05,33.2,51.0,216.3,477.6,True
60.05,34.2,57.8,216.2,477.6,True
90.1,33.9,51.3,215.9,477.6,True
120.05,34.7,53.1,216.0,477.6,True
150.05,35.4,50.0,215.9,477.6,True
180.05,33.3,54.0,216.0,477.6,True
210.07,32.1,47.5,216.0,477.6,True
240.08,31.6,53.0,216.1,477.6,True
270.05,34.6,51.5,216.1,477.6,True
300.04,35.9,54.7,216.0,477.6,True
