elapsed_s,cpu_temp_c,cpu_percent,mem_free_mb,mem_total_mb,ok
0.16,30.1,16.7,227.0,477.6,True
30.45,28.3,1.8,225.3,477.6,True
60.09,30.1,8.3,224.7,477.6,True
90.07,32.6,2.0,224.8,477.6,True
120.06,29.8,2.8,224.7,477.6,True
150.13,31.5,3.1,224.8,477.6,True
180.09,29.0,3.5,224.6,477.6,True
210.14,29.8,2.9,224.6,477.6,True
240.05,29.5,3.7,224.9,477.6,True
270.05,31.5,4.5,224.6,477.6,True
300.05,30.8,2.3,224.7,477.6,True
