elapsed_s,event,topic,payload
392.37,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:19"", ""student_id"": ""402101906""}"
392.38,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.8, ""timestamp"": ""2026-08-04T07:03:19Z"", ""student_id"": ""402101906""}"
394.37,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:21"", ""student_id"": ""402101906""}"
394.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.2, ""timestamp"": ""2026-08-04T07:03:21Z"", ""student_id"": ""402101906""}"
396.37,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:23"", ""student_id"": ""402101906""}"
396.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 42.0, ""timestamp"": ""2026-08-04T07:03:23Z"", ""student_id"": ""402101906""}"
398.37,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:25"", ""student_id"": ""402101906""}"
398.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.7, ""timestamp"": ""2026-08-04T07:03:25Z"", ""student_id"": ""402101906""}"
402.72,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:30"", ""student_id"": ""402101906""}"
402.72,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.1, ""timestamp"": ""2026-08-04T07:03:30Z"", ""student_id"": ""402101906""}"
404.71,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:31"", ""student_id"": ""402101906""}"
404.71,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.1, ""timestamp"": ""2026-08-04T07:03:32Z"", ""student_id"": ""402101906""}"
406.71,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:34"", ""student_id"": ""402101906""}"
406.71,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.4, ""timestamp"": ""2026-08-04T07:03:34Z"", ""student_id"": ""402101906""}"
408.71,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:35"", ""student_id"": ""402101906""}"
408.71,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.2, ""timestamp"": ""2026-08-04T07:03:36Z"", ""student_id"": ""402101906""}"
410.71,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:37"", ""student_id"": ""402101906""}"
410.71,message,home/telemetry/402101906,"{""cpu_temp_c"": 42.1, ""timestamp"": ""2026-08-04T07:03:38Z"", ""student_id"": ""402101906""}"
412.71,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:40"", ""student_id"": ""402101906""}"
412.71,message,home/telemetry/402101906,"{""cpu_temp_c"": 43.6, ""timestamp"": ""2026-08-04T07:03:40Z"", ""student_id"": ""402101906""}"
414.71,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:03:41"", ""student_id"": ""402101906""}"
414.72,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.1, ""timestamp"": ""2026-08-04T07:03:42Z"", ""student_id"": ""402101906""}"
416.74,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:43"", ""student_id"": ""402101906""}"
416.74,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.0, ""timestamp"": ""2026-08-04T07:03:44Z"", ""student_id"": ""402101906""}"
418.72,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:46"", ""student_id"": ""402101906""}"
418.72,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.7, ""timestamp"": ""2026-08-04T07:03:46Z"", ""student_id"": ""402101906""}"
420.72,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:46"", ""student_id"": ""402101906""}"
420.72,message,home/telemetry/402101906,"{""cpu_temp_c"": 42.8, ""timestamp"": ""2026-08-04T07:03:48Z"", ""student_id"": ""402101906""}"
422.72,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:50"", ""student_id"": ""402101906""}"
422.72,message,home/telemetry/402101906,"{""cpu_temp_c"": 44.8, ""timestamp"": ""2026-08-04T07:03:50Z"", ""student_id"": ""402101906""}"
424.72,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:51"", ""student_id"": ""402101906""}"
424.73,message,home/telemetry/402101906,"{""cpu_temp_c"": 42.3, ""timestamp"": ""2026-08-04T07:03:52Z"", ""student_id"": ""402101906""}"
426.72,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:53"", ""student_id"": ""402101906""}"
426.72,message,home/telemetry/402101906,"{""cpu_temp_c"": 38.8, ""timestamp"": ""2026-08-04T07:03:54Z"", ""student_id"": ""402101906""}"
428.72,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:55"", ""student_id"": ""402101906""}"
428.72,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.2, ""timestamp"": ""2026-08-04T07:03:56Z"", ""student_id"": ""402101906""}"
433.17,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:59"", ""student_id"": ""402101906""}"
433.18,message,home/telemetry/402101906,"{""cpu_temp_c"": 40.8, ""timestamp"": ""2026-08-04T07:04:00Z"", ""student_id"": ""402101906""}"
435.18,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:02"", ""student_id"": ""402101906""}"
435.18,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.2, ""timestamp"": ""2026-08-04T07:04:02Z"", ""student_id"": ""402101906""}"
437.18,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:04"", ""student_id"": ""402101906""}"
437.18,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.3, ""timestamp"": ""2026-08-04T07:04:04Z"", ""student_id"": ""402101906""}"
439.18,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:06"", ""student_id"": ""402101906""}"
439.19,message,home/telemetry/402101906,"{""cpu_temp_c"": 49.7, ""timestamp"": ""2026-08-04T07:04:06Z"", ""student_id"": ""402101906""}"
441.18,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:04:08"", ""student_id"": ""402101906""}"
441.18,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.6, ""timestamp"": ""2026-08-04T07:04:08Z"", ""student_id"": ""402101906""}"
443.18,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:04:10"", ""student_id"": ""402101906""}"
443.19,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.2, ""timestamp"": ""2026-08-04T07:04:10Z"", ""student_id"": ""402101906""}"
445.2,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:04:12"", ""student_id"": ""402101906""}"
445.21,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.9, ""timestamp"": ""2026-08-04T07:04:12Z"", ""student_id"": ""402101906""}"
447.18,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:04:14"", ""student_id"": ""402101906""}"
447.19,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.3, ""timestamp"": ""2026-08-04T07:04:14Z"", ""student_id"": ""402101906""}"
449.19,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:16"", ""student_id"": ""402101906""}"
449.2,message,home/telemetry/402101906,"{""cpu_temp_c"": 50.2, ""timestamp"": ""2026-08-04T07:04:16Z"", ""student_id"": ""402101906""}"
451.24,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:18"", ""student_id"": ""402101906""}"
451.25,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.2, ""timestamp"": ""2026-08-04T07:04:18Z"", ""student_id"": ""402101906""}"
453.26,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:20"", ""student_id"": ""402101906""}"
453.26,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.6, ""timestamp"": ""2026-08-04T07:04:20Z"", ""student_id"": ""402101906""}"
455.19,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:22"", ""student_id"": ""402101906""}"
455.19,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.0, ""timestamp"": ""2026-08-04T07:04:22Z"", ""student_id"": ""402101906""}"
457.19,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:24"", ""student_id"": ""402101906""}"
457.19,message,home/telemetry/402101906,"{""cpu_temp_c"": 44.0, ""timestamp"": ""2026-08-04T07:04:24Z"", ""student_id"": ""402101906""}"
459.23,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:26"", ""student_id"": ""402101906""}"
459.23,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.5, ""timestamp"": ""2026-08-04T07:04:26Z"", ""student_id"": ""402101906""}"
463.6,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:30"", ""student_id"": ""402101906""}"
463.61,message,home/telemetry/402101906,"{""cpu_temp_c"": 39.9, ""timestamp"": ""2026-08-04T07:04:31Z"", ""student_id"": ""402101906""}"
465.61,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:32"", ""student_id"": ""402101906""}"
465.61,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.3, ""timestamp"": ""2026-08-04T07:04:33Z"", ""student_id"": ""402101906""}"
467.61,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:35"", ""student_id"": ""402101906""}"
467.61,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.1, ""timestamp"": ""2026-08-04T07:04:35Z"", ""student_id"": ""402101906""}"
469.61,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:35"", ""student_id"": ""402101906""}"
469.62,message,home/telemetry/402101906,"{""cpu_temp_c"": 41.7, ""timestamp"": ""2026-08-04T07:04:37Z"", ""student_id"": ""402101906""}"
471.61,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:38"", ""student_id"": ""402101906""}"
471.61,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.9, ""timestamp"": ""2026-08-04T07:04:39Z"", ""student_id"": ""402101906""}"
473.61,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:40"", ""student_id"": ""402101906""}"
473.61,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.8, ""timestamp"": ""2026-08-04T07:04:41Z"", ""student_id"": ""402101906""}"
475.63,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:42"", ""student_id"": ""402101906""}"
475.63,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.9, ""timestamp"": ""2026-08-04T07:04:43Z"", ""student_id"": ""402101906""}"
477.61,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:45"", ""student_id"": ""402101906""}"
477.62,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.2, ""timestamp"": ""2026-08-04T07:04:45Z"", ""student_id"": ""402101906""}"
479.61,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:46"", ""student_id"": ""402101906""}"
479.62,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.3, ""timestamp"": ""2026-08-04T07:04:47Z"", ""student_id"": ""402101906""}"
481.61,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:49"", ""student_id"": ""402101906""}"
481.63,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.6, ""timestamp"": ""2026-08-04T07:04:49Z"", ""student_id"": ""402101906""}"
483.64,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:50"", ""student_id"": ""402101906""}"
483.64,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.5, ""timestamp"": ""2026-08-04T07:04:51Z"", ""student_id"": ""402101906""}"
485.62,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:52"", ""student_id"": ""402101906""}"
485.62,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.1, ""timestamp"": ""2026-08-04T07:04:53Z"", ""student_id"": ""402101906""}"
487.62,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:54"", ""student_id"": ""402101906""}"
487.62,message,home/telemetry/402101906,"{""cpu_temp_c"": 41.4, ""timestamp"": ""2026-08-04T07:04:55Z"", ""student_id"": ""402101906""}"
489.62,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:04:56"", ""student_id"": ""402101906""}"
489.62,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.8, ""timestamp"": ""2026-08-04T07:04:57Z"", ""student_id"": ""402101906""}"
493.94,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:05:00"", ""student_id"": ""402101906""}"
493.95,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.9, ""timestamp"": ""2026-08-04T07:05:01Z"", ""student_id"": ""402101906""}"
495.88,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:05:03"", ""student_id"": ""402101906""}"
495.9,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.4, ""timestamp"": ""2026-08-04T07:05:03Z"", ""student_id"": ""402101906""}"
497.88,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:05:04"", ""student_id"": ""402101906""}"
497.89,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.4, ""timestamp"": ""2026-08-04T07:05:05Z"", ""student_id"": ""402101906""}"
499.98,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:05:07"", ""student_id"": ""402101906""}"
499.98,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.7, ""timestamp"": ""2026-08-04T07:05:07Z"", ""student_id"": ""402101906""}"
500.99,disconnected,,rc=0
